engine_file,id,source_page,pos,pos_final,pn,pn_final,esquemas,ruta_esquemas_pos,esquemas_circulos,esquemas_circulos_all
engine_12V4000M40A.json,RB-12V4000M40A-001462,231,1400,1400,200933016010,200933016010,"12V4000M40A-0229-01.webp, 12V4000M40A-0229-02.webp, 12V4000M40A-0230-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-001476,232,5,5,8499970065,8499970065,12V4000M40A-0232-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001489,238,30,30,2017555865007019,2017555865007019,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001490,238,50,50,X52720200061,X52720200061,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001491,238,60,60,007603040102,007603040102,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001492,238,70,70,700419999033,700419999033,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001493,238,72,72,915001040001,915001040001,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001494,238,74,74,700131045001,700131045001,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001495,238,100,100,700325055100,700325055100,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001496,238,110,110,700325055200,700325055200,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001497,238,120,120,700327042000,700327042000,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001498,238,130,130,304017008081,304017008081,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001499,238,140,140,304017008087,304017008087,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001500,238,150,150,000934008008,000934008008,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001501,238,160,160,000137008203,000137008203,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001502,238,180,180,700383018101,700383018101,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001503,238,190,190,007603018101,007603018101,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001504,238,200,200,000910018001,000910018001,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001505,238,260,260,304017008086,304017008086,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001506,238,300,300,002642050000,002642050000,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001507,238,310,310,086037050201,086037050201,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001508,238,320,320,200933016013,200933016013,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001509,238,330,330,000137016201,000137016201,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001510,238,350,350,5582036239,5582036239,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001511,238,353,353,5552035039,5552035039,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001512,238,360,360,5552032380,5552032380,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001513,238,390,390,700346133100,700346133100,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001514,239,400,400,700346133200,700346133200,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001515,239,410,410,304014010023,304014010023,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001516,239,420,420,000934010007,000934010007,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001517,239,430,430,000137010202,000137010202,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001518,239,530,530,5909950169,5909950169,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001519,239,540,540,5909950269,5909950269,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001520,239,560,560,700132045001,700132045001,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001521,239,580,580,086037125200,086037125200,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001522,239,590,590,002642125100,002642125100,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001523,239,600,600,0017555865004356,0017555865004356,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001524,239,610,610,5802010325,5802010325,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001525,239,613,613,X52720200080,X52720200080,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001526,239,650,650,5242035239,5242035239,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001527,239,670,670,999935040100,999935040100,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001528,239,680,680,999935040200,999935040200,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001529,239,710,710,304017006068,304017006068,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001530,239,720,720,000137006205,000137006205,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001531,239,730,730,000934006006,000934006006,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001532,239,742,742,700383030101,700383030101,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001533,239,744,744,007603030101,007603030101,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001534,239,746,746,718363220000,718363220000,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001535,239,750,750,2024622783317022,2024622783317022,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001536,239,762,762,700325028101,700325028101,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001537,239,764,764,700325028201,700325028201,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001538,239,766,766,700327022000,700327022000,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001539,239,770,770,304017008084,304017008084,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001540,239,810,810,X00002078,X00002078,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001606,246,1150,1150,0049976736,0049976736,"12V4000M40A-0245-01.webp, 12V4000M40A-0245-02.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-001608,246,1250,1250,700223010000,700223010000,"12V4000M40A-0245-01.webp, 12V4000M40A-0245-02.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-001805,269,5,5,0002034480,0002034480,12V4000M40A-0269-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001823,275,50,50,000933012051,000933012051,12V4000M40A-0275-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001975,301,40,40,5822370250,5822370250,12V4000M40A-0301-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001976,301,50,50,5822370143,5822370143,12V4000M40A-0301-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001977,301,60,60,304017020007,304017020007,12V4000M40A-0301-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001978,301,70,70,000934020000,000934020000,12V4000M40A-0301-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001979,301,80,80,000125021009,000125021009,12V4000M40A-0301-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001980,301,110,110,0012370312,0012370312,12V4000M40A-0301-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001981,301,120,120,5272370335,5272370335,12V4000M40A-0301-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001982,301,140,140,0012370012,0012370012,12V4000M40A-0301-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001983,301,150,150,5272370435,5272370435,12V4000M40A-0301-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002021,308,100,100,Z=G 8153,Z=G 8153,12V4000M40A-0308-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002022,308,110,110,Z=EN 24017 M16X16,Z=EN 24017 M16X16,12V4000M40A-0308-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002024,308,140,140,Z=EN 24017 M10X30,Z=EN 24017 M10X30,12V4000M40A-0308-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002026,308,160,160,0009939226,0009939226,12V4000M40A-0308-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002028,308,200,200,8699930063,8699930063,12V4000M40A-0308-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002069,321,140,140,X00E50201062,X00E50201062,12V4000M40A-0321-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-002136,332,3350,3350,X00036551,X00036551,"12V4000M40A-0330-01.webp, 12V4000M40A-0330-02.webp, 12V4000M40A-0331-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002342,357,155,155,X00E50202703,X00E50202703,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002379,358,375,375,0055314981,0055314981,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-002380,358,380,380,0055315081,0055315081,"12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp",,,
