sku;import_decision;import_reason;designation_final;measure_final;weight_final;source_engine_file;source_id;total_occurrences_global;engine_models_all;source_pages_all;source_ids_all;compacted_type
XP52725100048;import_superseded;relacion superseded clara;O-RING;;0.070 kg;engine_16V4000M73.json;1402601;4;16V4000M73;312, 666, 1021, 1375;1402601, 1405770, 1408948, 1412150;superseded
X00013978;import_superseded;estado QA requiere revision manual | conflictos detectados: designation_conflict | relacion superseded clara;TERMINAL FOR CYLINDER HEAD Busin;;25.000 g;engine_16V4000M73.json;1402778;6;16V4000M73, 20V4000M93L;326, 680, 1035, 1389, 1473, 1857;1402778, 1405947, 1409125, 1412328, 1803482, 1807164;superseded
X52650200006;import_superseded;conflictos detectados: designation_conflict, weight_conflict | relacion superseded clara;RETAINER TOP;;2,779 KG;engine_16V4000M73L.json;1502330;14;16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;329, 342, 367, 683, 763, 804, 1038, 1147, 1159, 1392, 1457, 1482, 1555, 1841;1402782, 1405951, 1409129, 1412331, 1502330, 1505367, 1507860, 1510350, 1703363, 1707103, 1710843, 1714583, 1803145, 1806827;superseded
X59499100575;import_superseded;relacion superseded clara;EXH PIPE BELLOWS;;;engine_16V4000M73.json;1407699;2;16V4000M73;902, 1257;1407699, 1410877;superseded
X52718300010;import_superseded;acciones QA contradictorias para el mismo PN | estado QA requiere revision manual | conflictos detectados: designation_conflict | relacion superseded clara;OIL FILTER AUTOMATIC;;;engine_16V4000M73L.json;1501414;5;16V4000M73, 16V4000M73L;217, 703, 1048, 1283, 1385;1411130, 1501414, 1504621, 1507084, 1509580;superseded
Z=5209684;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;CLAMPING RING;;AB AUTOMATIKÖLFILTER;engine_16V4000M73.json;1411183;2;16V4000M73;1285, 1286;1411183, 1411209;superseded
X59420500001;import_superseded;conflictos detectados: weight_conflict | ya existe en WordPress/product-export | relacion superseded clara;BASE PLATE;;120.000 kg AB;engine_16V4000M73.json;1411865;7;16V4000M73, 16V4000M73L, 20V4000M93L;238, 724, 1069, 1340, 1400, 1405, 1780;1411865, 1501644, 1504851, 1507314, 1509801, 1802783, 1806442;superseded
X59401100019;import_superseded;acciones QA contradictorias para el mismo PN | estado QA requiere revision manual | conflictos detectados: designation_conflict | ya existe en WordPress/product-export | relacion superseded clara;INSPECT PORT COVER W/OIL FILLER NECK;;4.969 kg SB;engine_20V4000M93L.json;1803639;5;16V4000M73L, 20V4000M93L;18, 1128, 1191, 1501;1500041, 1508197, 1800067, 1803639, 1803650;superseded
X59403200001;import_superseded;acciones QA contradictorias para el mismo PN | estado QA requiere revision manual | conflictos detectados: designation_conflict | relacion superseded clara;FLYWHEEL;;120 KG;engine_16V4000M73L.json;1500291;10;16V4000M73L, 20V4000M93, 20V4000M93L;53, 63, 459, 538, 855, 883, 1163, 1226, 1251, 1536;1500291, 1503497, 1505960, 1508447, 1700377, 1704122, 1707862, 1711602, 1800369, 1803942;superseded
X52404100139;import_superseded;relacion superseded clara;CYLINDER HEAD W.VALVE + SEAT RING;;;engine_16V4000M73L.json;1500345;4;16V4000M73L;67, 552, 897, 1240;1500345, 1503551, 1506014, 1508502;superseded
