sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
0005356430 TEMPERATURE 0005356430 TEMPERATURE;;;50,000 g 50,000 g;pending_review;qa_pending_or_review_found;false;3;12V4000M53, 20V4000M93;1202859, 1206014, 1714293;338, 701, 1531;"{""total_rows"":3,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":3,""count_review_action"":3,""count_other"":3}";pending_review;qa_pending_or_review_found
0005356430 TEMPERATURE 0005359960 THERMOCOUPL;;;50.000 g 173.800 g;pending_review;qa_pending_or_review_found;false;1;20V4000M93;1714294;1531;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
0005356430 TEMPERATURE SENS 0005356430 TEMPERATURE SENS;;;;pending_review;qa_pending_or_review_found;false;3;20V4000M93;1703066, 1706806, 1710546;343, 739, 1135;"{""total_rows"":3,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":3,""count_review_action"":3,""count_other"":3}";pending_review;qa_pending_or_review_found
0005356430 TEMPERATURE SENS 0005359960 THERMOCOUPLE;;;;pending_review;qa_pending_or_review_found;false;3;20V4000M93;1703069, 1706809, 1710549;343, 739, 1135;"{""total_rows"":3,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":3,""count_review_action"":3,""count_other"":3}";pending_review;qa_pending_or_review_found
0005356430 TEMPERATURE X00E50201370TEMPERATURE;;;50.000 g 197.100 g;pending_review;qa_pending_or_review_found;false;2;20V4000M93L;1803339, 1807021;1466, 1850;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
0005359960 THERMOCOUPLE 0005359960 THERMOCOUPLE;;;173,800 g 173,800 g;pending_review;qa_pending_or_review_found;false;6;12V4000M53;1202882, 1202888, 1202891, 1206042, 1206048, 1206051;339, 702;"{""total_rows"":6,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":6,""count_review_action"":6,""count_other"":6}";pending_review;qa_pending_or_review_found
0005384275 5285332040 0005334332 0005334432 0015345101;;nan;nan;pending_review;qa_pending_or_review_found;false;1;12V4000M70;1904955;721;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
009531648;;;;pending_review;qa_pending_or_review_found;false;3;16V4000M61, 16V4000M73L;1302461, 1502240, 1510814;396, 331, 1565;"{""total_rows"":3,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":3,""count_review_action"":3,""count_other"":3}";pending_review;qa_pending_or_review_found
009531908;;;;pending_review;qa_pending_or_review_found;false;4;20V4000M93;1703223, 1706963, 1710703, 1714445;353, 749, 1145, 1541;"{""total_rows"":4,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":4,""count_review_action"":4,""count_other"":4}";pending_review;qa_pending_or_review_found
10201520;;;;pending_review;qa_pending_or_review_found;false;6;20V4000M93, 20V4000M93L;1702439, 1706179, 1709919, 1713663, 1802491, 1806150;282, 678, 1074, 1470, 1391, 1771;"{""total_rows"":6,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":6,""count_review_action"":6,""count_other"":6}";pending_review;qa_pending_or_review_found
10520550;0 540;;;pending_review;qa_pending_or_review_found;false;2;20V4000M93L;1803363, 1807045;1468, 1852;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
10901590;;;;pending_review;qa_pending_or_review_found;false;6;20V4000M93, 20V4000M93L;1702437, 1706177, 1709917, 1713661, 1802489, 1806148;282, 678, 1074, 1470, 1391, 1771;"{""total_rows"":6,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":6,""count_review_action"":6,""count_other"":6}";pending_review;qa_pending_or_review_found
11001140;;;;pending_review;qa_pending_or_review_found;false;2;20V4000M93L;1802385, 1806044;1386, 1766;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
11012013;BAYONET COUPLING;;;pending_review;qa_pending_or_review_found;false;2;16V4000M61, 16V4000M73L;1302804, 1503053;473, 452;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
11050604;APPLIANCE CONNECTOR;;;pending_review;qa_pending_or_review_found;false;2;16V4000M73L;1503035, 1511264;448, 1645;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
11809501;OIL PRELUBE PMP 3 PHASE 26 L/MIN 50/60;;17,380 KGP;pending_review;qa_pending_or_review_found;false;1;12V4000M40A;1100238;190;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
12301525;155 1540 1420 0 1540 1340;;;pending_review;qa_pending_or_review_found;false;4;16V4000M73;1402134, 1405303, 1408481, 1411659;269, 623, 978, 1332;"{""total_rows"":4,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":4,""count_review_action"":4,""count_other"":4}";pending_review;qa_pending_or_review_found
13001375;;;;pending_review;qa_pending_or_review_found;false;1;16V4000M90;1601731;232;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
13251225;;;;pending_review;qa_pending_or_review_found;false;2;16V4000M61;1301359, 1304272;218, 720;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
