sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
5275308037;PROGRAMMING CONNECTR FOR CONTROL PANEL;;0.502 KGM;import;qa_ok_importar_found;true;4;16V4000M61, 16V4000M73L, 16V4000M90;1302622, 1502712, 1510938, 1602727;429, 395, 1592, 397;"{""total_rows"":4,""count_ok_importar"":4,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5275308412;PLUG-IN BOARD;;57 G;import;qa_ok_importar_found;true;5;12V4000M40A, 12V4000M70, 16V4000M61;1101435, 1902427, 1904814, 1302307, 1305078;406, 344, 681, 364, 833;"{""total_rows"":5,""count_ok_importar"":5,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5275308912;PLUG-IN BOARD;;17 G;import;qa_ok_importar_found;true;5;12V4000M70, 16V4000M61, 16V4000M73L, 16V4000M90;1905296, 1302549, 1503143, 1511372, 1602793;797, 405, 475, 1672, 403;"{""total_rows"":5,""count_ok_importar"":5,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5275308912/76;PLUG-IN CIRC.BOARD NOT ADJUSTED;nan;122,000 g MN;import;qa_ok_importar_found;true;1;12V4000M70;1905352;803;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5275309538;CONNECTING CABLE F/MONTRG SYST + GOV;L=4M, DRUCKLUFTANLASSER;3.075 KGM;import;qa_ok_importar_found;true;2;16V4000M73L;1502861, 1511087;413, 1610;"{""total_rows"":2,""count_ok_importar"":2,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5275309638;CONNECTING CABLE F/MONTRG SYST + GOV;;;import;qa_ok_importar_found;true;1;16V4000M61;1302638;433;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5275309837;VPI - PROG CONN FOR MON SYS PIM4;;5.000 g M;import;qa_ok_importar_found;true;1;16V4000M90;1602607;364;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5275330546;FRAME;205X101X45;0.588 KGM;import;qa_ok_importar_found;true;5;12V4000M70, 16V4000M61, 16V4000M73L, 16V4000M90;1905300, 1302554, 1503147, 1511376, 1602797;797, 405, 475, 1672, 403;"{""total_rows"":5,""count_ok_importar"":5,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5275332789;PLATE FOR ECU;;0,005 kg;import;qa_ok_importar_found;true;2;12V4000M70;1902402, 1904789;343, 680;"{""total_rows"":2,""count_ok_importar"":2,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5275334402;HOUSING F/MONTRG SYST + GOV;423X270X76 (LXBXH);3,650 KG;import;qa_ok_importar_found;true;5;12V4000M40A, 12V4000M70, 16V4000M61;1101436, 1902421, 1904808, 1302301, 1305072;404, 343, 680, 363, 832;"{""total_rows"":5,""count_ok_importar"":5,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5275334889;PLATE;41X28;1,000 g;import;qa_ok_importar_found;true;2;12V4000M70;1902429, 1904816;344, 681;"{""total_rows"":2,""count_ok_importar"":2,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5275335589;IDENTIFICATION PLATE FOR ELECTRONICS;16X37 (HXB);0.005 KGM;import;qa_ok_importar_found;true;1;16V4000M90;1602595;358;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5275335589 X00036282;ELECTRONICS PROGRAMMING MONITOR SYSTE;16X37 (HXB);;import;qa_ok_importar_found;true;1;16V4000M90;1602596;358;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5275350691;COVER F/EXH TEMP MEASUREM;;1.02 KGM;import;qa_ok_importar_found;true;3;12V4000M40A, 16V4000M61;1101437, 1302314, 1305085;410, 368, 837;"{""total_rows"":3,""count_ok_importar"":3,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5275351291;COVER F/MONTRG SYST + GOV;427X275X11 (LXBXH);1.75 KGM;import;qa_ok_importar_found;true;5;12V4000M40A, 12V4000M70, 16V4000M61;1101438, 1902422, 1904809, 1302302, 1305073;404, 343, 680, 363, 832;"{""total_rows"":5,""count_ok_importar"":5,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5279870435;SEAL OIL PAN 4569LG;;0.5 KGM;import;qa_ok_importar_found;true;11;16V4000M61, 16V4000M73, 16V4000M73L, 16V4000M90;1300071, 1302993, 1400109, 1403281, 1406450, 1409628, 1500073, 1503279, 1505742, 1508229, 1600066;19, 526, 33, 387, 741, 1096, 22, 507, 852, 1195, 23;"{""total_rows"":11,""count_ok_importar"":11,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5279970345;SEAL STRIP;1357X5;184.800 g 1357X5;import;qa_ok_importar_found;true;7;16V4000M61, 16V4000M73, 16V4000M90;1300008, 1302930, 1400038, 1403210, 1406379, 1409557, 1600008;12, 519, 26, 380, 734, 1089, 17;"{""total_rows"":7,""count_ok_importar"":7,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5280140002;OIL PAN;;480.000 kg;import;qa_ok_importar_found;true;2;20V4000M93L;1800100, 1803672;1133, 1506;"{""total_rows"":2,""count_ok_importar"":2,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5280150031;INDICATOR DEAD CENTE R;;0.25 KGM;import;qa_ok_importar_found;true;2;20V4000M93L;1800133, 1803705;1138, 1511;"{""total_rows"":2,""count_ok_importar"":2,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5280330362;THRUST WASHER;;9.260 kg;import;qa_ok_importar_found;true;10;16V4000M73, 16V4000M73L, 20V4000M93L;1400158, 1403329, 1406498, 1409676, 1500109, 1503315, 1505778, 1508265, 1800156, 1803727;39, 393, 747, 1102, 28, 513, 858, 1201, 1139, 1512;"{""total_rows"":10,""count_ok_importar"":6,""count_ok_eliminar"":0,""count_pending"":4,""count_review_action"":4,""count_other"":4}";import;qa_ok_importar_found
5280500044;THRUST BEARING FLANG FOR CAMSHAFT;;1.647 kg;import;qa_ok_importar_found;true;2;20V4000M93L;1800465, 1804038;1184, 1557;"{""total_rows"":2,""count_ok_importar"":2,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5280500101;CAMSHAFT;;80.500 kg;import;qa_ok_importar_found;true;6;20V4000M93, 20V4000M93L;1700485, 1704235, 1707975, 1711715, 1800459, 1804032;84, 480, 876, 1272, 1184, 1557;"{""total_rows"":6,""count_ok_importar"":6,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5280510101;CAMSHAFT DRIVING END;;12 KGM;import;qa_ok_importar_found;true;6;20V4000M93, 20V4000M93L;1700495, 1704245, 1707985, 1711725, 1800468, 1804041;85, 481, 877, 1273, 1185, 1558;"{""total_rows"":6,""count_ok_importar"":6,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5280510201;CAMSHAFT FREE END;;;import;qa_ok_importar_found;true;6;20V4000M93, 20V4000M93L;1700496, 1704246, 1707986, 1711726, 1800469, 1804042;85, 481, 877, 1273, 1185, 1558;"{""total_rows"":6,""count_ok_importar"":6,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5280520048;METERING WHEEL;;2.734 KGM;import;qa_ok_importar_found;true;14;16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1400501, 1403670, 1406839, 1410017, 1500377, 1503583, 1506046, 1508534, 1700490, 1704240, 1707980, 1711720, 1800462, 1804035;87, 441, 795, 1150, 74, 559, 904, 1247, 84, 480, 876, 1272, 1184, 1557;"{""total_rows"":14,""count_ok_importar"":14,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5281700102;VALVE AIR STARTER;nan;nan;import;qa_ok_importar_found;true;16;12V4000M70, 16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1901345, 1903732, 1401427, 1404596, 1407774, 1410952, 1501184, 1504391, 1506854, 1509340, 1701695, 1705435, 1709175, 1712922, 1801667, 1805326;200, 537, 554, 909, 1264, 190, 676, 1021, 1360, 218, 614, 1010, 1406, 1315, 1695;"{""total_rows"":16,""count_ok_importar"":16,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5281800020;PLUG-IN PIPE;;5.920 kg SB;import;qa_ok_importar_found;true;6;20V4000M93, 20V4000M93L;1700116, 1703862, 1707602, 1711342, 1800098, 1803670;32, 428, 824, 1220, 1133, 1506;"{""total_rows"":6,""count_ok_importar"":6,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5281800319;TUBE HIGH PRESS FUEL PUMP LUBE OIL;;0.27 KGM;import;qa_ok_importar_found;true;14;16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1401746, 1404915, 1408093, 1411271, 1501509, 1504716, 1507179, 1509667, 1701950, 1705690, 1709430, 1713175, 1802103, 1805762;231, 585, 940, 1294, 223, 709, 1054, 1391, 247, 643, 1039, 1435, 1357, 1737;"{""total_rows"":14,""count_ok_importar"":14,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5281800519;TUBE ASM OIL LINE;;0.187 KGM;import;qa_ok_importar_found;true;16;12V4000M53, 16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1200297, 1203441, 1400316, 1403484, 1406653, 1409831, 1500219, 1503425, 1505888, 1508375, 1700302, 1704047, 1707787, 1711527, 1800292, 1803866;48, 403, 55, 409, 763, 1118, 43, 528, 873, 1216, 52, 448, 844, 1240, 1152, 1525;"{""total_rows"":16,""count_ok_importar"":16,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
