sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
edrichshafen Gm;bH;Page:;-07;discard;qa_ok_eliminar_found;true;13;12V4000M53, 16V4000M73, 20V4000M93, 20V4000M93L;1200513, 1203656, 1206402, 1400529, 1403697, 1406866, 1410044, 1411409, 1700521, 1704271, 1708011, 1711751, 1800495;87, 442, 755, 93, 447, 801, 1156, 1306, 91, 487, 883, 1279, 1191;"{""total_rows"":13,""count_ok_importar"":0,""count_ok_eliminar"":13,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
en GmbH;;;;discard;qa_ok_eliminar_found;true;9;12V4000M53, 16V4000M73, 20V4000M93;1201120, 1204259, 1401103, 1404272, 1407441, 1410619, 1701236, 1704976, 1708716;154, 509, 164, 518, 872, 1227, 172, 568, 964;"{""total_rows"":9,""count_ok_importar"":0,""count_ok_eliminar"":9,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
fen GmbH;69032;;;discard;qa_ok_eliminar_found;true;7;12V4000M53, 16V4000M73, 20V4000M93, 20V4000M93L;1200114, 1200328, 1400122, 1400355, 1700122, 1700341, 1807259;33, 50, 36, 57, 34, 54, 1873;"{""total_rows"":7,""count_ok_importar"":0,""count_ok_eliminar"":7,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
Friedrichshafen Gmb;H 6179;;;discard;qa_ok_eliminar_found;true;2;12V4000M70;1901126, 1903568;174, 513;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":2,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
GmbH;49619 2015-08;;;discard;qa_ok_eliminar_found;true;6;12V4000M53, 16V4000M73;1201745, 1204884, 1402109, 1405278, 1408456, 1411635;227, 582, 266, 620, 975, 1329;"{""total_rows"":6,""count_ok_importar"":0,""count_ok_eliminar"":6,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
hafen GmbH;;;;discard;qa_ok_eliminar_found;true;7;12V4000M53, 20V4000M93, 20V4000M93L;1201781, 1204920, 1702756, 1706496, 1710236, 1802292, 1805951;231, 586, 296, 692, 1088, 1376, 1756;"{""total_rows"":7,""count_ok_importar"":0,""count_ok_eliminar"":7,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
hshafen GmbH;69032;;;discard;qa_ok_eliminar_found;true;4;16V4000M90, 20V4000M93, 20V4000M93L;1601382, 1712163, 1800888, 1804494;195, 1333, 1243, 1620;"{""total_rows"":4,""count_ok_importar"":0,""count_ok_eliminar"":4,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
iedrichshafen Gm;bH;;2014-12;discard;qa_ok_eliminar_found;true;4;12V4000M53, 20V4000M93;1200603, 1200604, 1700601, 1700602;104, 105, 107, 108;"{""total_rows"":4,""count_ok_importar"":0,""count_ok_eliminar"":4,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
MTU Friedric;hshafen Gmb;age: 276 /;;discard;qa_ok_eliminar_found;true;7;12V4000M53, 16V4000M73, 16V4000M90;1202939, 1206099, 1403106, 1406275, 1409453, 1412656, 1602202;345, 708, 355, 709, 1064, 1418, 306;"{""total_rows"":7,""count_ok_importar"":0,""count_ok_eliminar"":7,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
MTU Friedrichshafe;;1047 / 4;;discard;qa_ok_eliminar_found;true;1;16V4000M73;1411793;1336;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":1,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
