sku;pn_final;PART NO.;engine;model_type;fg_code;fg_description;fg_code_description;exp_categorias;exp_imagenes;designation_final;DESIGNATION;sust_hierarchie;hierarchie_final;sust_new_part_number;new_pn_final;sust_superseded_list;subst_pnlist_final;measurement_final;weight_final;synthetic_source;data_quality;synthetic_parent_id;synthetic_parent_pn;synthetic_parent_engine;synthetic_child_id;synthetic_child_pn;synthetic_child_engine;dedupe_trace;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
5105302438/S0001 3X400VAC;5105302438/S0001 3X400VAC;5105302438/S0001 3X400VAC;12V4000M40A;12VM40A;508;ACCESSORIES FOR ENGINE GOVERNOR (ELECTRONIC) CONTROL SYSTEM;508 ACCESSORIES FOR ENGINE GOVERNOR (ELECTRONIC) CONTROL SYSTEM;12VM40A-508;;JUNCTION BOX / 50HZ / 2A;JUNCTION BOX / 50HZ / 2A;New;New;;;;;;11,840 KG;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-002602;385;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5105302573;5105302573;5105302573;16V4000M90;16VM90;511;ALARM SYSTEM;511 ALARM SYSTEM;16VM90-511;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M90-0392-01-80.webp;INDICATOR F/SLAVE CONTR STAND;INDICATOR F/SLAVE CONTR STAND;New;New;;;;;WENDEGETRIEBE, BR 183/2000;0.1 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M90;RB-16V4000M90-002659;392;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5105302634;5105302634;5105302634;12V4000M70;12VM70;511;;511;12VM70-511;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0758-01-100.webp;CABLE FOR ECS;CABLE FOR ECS;New;New;;;;;L;0.822 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M70;RB-12V4000M70-005323;758;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5105303134;5105303134;5105303134;12V4000M70;12VM70;511;;511;12VM70-511;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0764-01-100.webp;CABLE FOR OIL PRIMING PUM;CABLE FOR OIL PRIMING PUM;New;New;;;;;L;1.93 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M70;RB-12V4000M70-005357;764;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5105303434;5105303434;5105303434;16V4000M73L;16VM73L;511;ALARM SYSTEM;511 ALARM SYSTEM;16VM73L-511;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73L-0415-01-100.webp;CABLE FOR OIL PRIMING PUM;CABLE FOR OIL PRIMING PUM;New;New;;;;;L;0.97 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M73L;RB-16V4000M73L-002915;415;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5105303534;5105303534;5105303534;16V4000M61;16VM61;511;ALARM SYSTEM;511 ALARM SYSTEM;16VM61-511;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M61-0435-01-100.webp;VPI - CABLE FOR OIL PRIMING PUM;VPI - CABLE FOR OIL PRIMING PUM;New;New;;;;;L;0.573 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M61;RB-16V4000M61-002757;435;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5105303634;5105303634;5105303634;12V4000M53;12VM53;511;;511;12VM53-511;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0773-01-100.webp;CONNECTING CABLE FOR MONITOR SYSTEM;CONNECTING CABLE FOR MONITOR SYSTEM;New;New;;;;;L:10M;2.613 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-006385;773;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5105303734;5105303734;5105303734;12V4000M53;12VM53;511;;511;12VM53-511;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0775-01-100.webp;CABLE FOR ECS;CABLE FOR ECS;New;New;;;;;L;2.551 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-006392;775;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5105304234;5105304234;5105304234;16V4000M73L;16VM73L;511;ALARM SYSTEM;511 ALARM SYSTEM;16VM73L-511;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73L-0405-02-120.webp;CABLE F/MONTRG SYST + GOV;CABLE F/MONTRG SYST + GOV;New;New;;;;;L;5.53 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M73L;RB-16V4000M73L-002845;406;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5105304334;5105304334;5105304334;16V4000M73L;16VM73L;511;ALARM SYSTEM;511 ALARM SYSTEM;16VM73L-511;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73L-0405-01-110.webp;CABLE F/MONTRG SYST + GOV;CABLE F/MONTRG SYST + GOV;New;New;;;;;L;4.994 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M73L;RB-16V4000M73L-002844;406;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5105304434;5105304434;5105304434;12V4000M70;12VM70;511;;511;12VM70-511;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0779-01-100.webp;CONNECTING CABLE F/START-AIR PRESSUR;CONNECTING CABLE F/START-AIR PRESSUR;New;New;;;;;W010.2, L=10M, STARTLUFTDRUCK;1.235 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M70;RB-12V4000M70-005432;779;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5105306263/S0001;5105306263/S0001;5105306263/S0001;12V4000M40A;12VM40A;;;;;;PANEL FOR CONTROL PANEL;PANEL FOR CONTROL PANEL;New;New;5105306263/S0001;5105306263/S0001;5105306263;5105306263;B.KLAR+FERNB+START +STOP +N.STOP;1,050 KG;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-002351;357;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5105306662/76;5105306662/76;5105306662/76;12V4000M40A;12VM40A;;;;;;PANEL NOT ADJUSTED;PANEL NOT ADJUSTED;New;New;5105306662/76;5105306662/76;5105306662;5105306662;;930 G;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-002525;374;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
