sku;pn_final;PART NO.;engine;model_type;fg_code;fg_description;fg_code_description;exp_categorias;exp_imagenes;designation_final;DESIGNATION;sust_hierarchie;hierarchie_final;sust_new_part_number;new_pn_final;sust_superseded_list;subst_pnlist_final;measurement_final;weight_final;synthetic_source;data_quality;synthetic_parent_id;synthetic_parent_pn;synthetic_parent_engine;synthetic_child_id;synthetic_child_pn;synthetic_child_engine;dedupe_trace;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
135M27020/1;135M27020/1;135M27020/1;12V4000M40A;12VM40A;233;BASE SKID WITH MOUNTS;233 BASE SKID WITH MOUNTS;12VM40A-233;;UNION;UNION;New;New;;;;;;0.051 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001989;301;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
136M52010/1;136M52010/1;136M52010/1;12V4000M40A;12VM40A;202;COOLANT CIRCUIT, GENERAL, HT CIRCUIT;202 COOLANT CIRCUIT, GENERAL, HT CIRCUIT;12VM40A-202;;BRACKET L H:100;BRACKET L H:100;New;New;;;;;;0.048 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001705;257;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
136M55056/1;136M55056/1;136M55056/1;12V4000M53;12VM53;80;"L.P. FUEL SYSTEM; (ALSO GAS ENGINES)";"80 L.P. FUEL SYSTEM; (ALSO GAS ENGINES)";12VM53-80;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0110-01-360.webp;STRAP 75 X20;STRAP 75 X20;New;New;136M55056/1;136M55056/1;135M55009/1;135M55009/1;;0.06 KGM;orphan_superseded_new;unknown_new_from_superseded;;;;RB-12V4000M53-000732;135M55009/1;12V4000M53;;import;synthetic_new_from_orphan_superseded;true;1;12V4000M53;RB-12V4000M53-000732;111;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;synthetic_new_from_orphan_superseded
137M13001/1;137M13001/1;137M13001/1;12V4000M40A;12VM40A;202;COOLANT CIRCUIT, GENERAL, HT CIRCUIT;202 COOLANT CIRCUIT, GENERAL, HT CIRCUIT;12VM40A-202;;BRACKET;BRACKET;New;New;;;;;;0.13 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001744;258;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000359;000000000359;000000000359;12V4000M40A;12VM40A;200;COOLANT SYSTEM;200 COOLANT SYSTEM;12VM40A-200;;HEX SCREW;HEX SCREW;New;New;;;;;M 16 X280;0.4 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001463;231;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000360;000000000360;000000000360;12V4000M40A;12VM40A;183;OIL FILTRATION/COOLING;183 OIL FILTRATION/COOLING;12VM40A-183;;HEX SCREW;HEX SCREW;New;New;;;;;M 16 X180;0.27 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001268;208;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
400X230X111;400X230X111;400X230X111;12V4000M40A;12VM40A;;;;;;TERMINAL BOX (LXBXH);TERMINAL BOX (LXBXH);New;New;;;;;;5,520 KG;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-002051;319;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000403;000000000403;000000000403;12V4000M53;12VM53;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0089-01-50.webp;NUT ADEC;NUT ADEC;New;New;000000000403;000000000403;200439016200;200439016200;M 16 X 1,5;0.018 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-000506;89;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
524SK0789;524SK0789;524SK0789;16V4000M61;16VM61;203;LOW-TEMPERATURE CIRCUIT;203 LOW-TEMPERATURE CIRCUIT;16VM61-203;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M61-0246-02-105.webp;CLAMP CHARGED AIR COOLANT TUBE;CLAMP CHARGED AIR COOLANT TUBE;New;New;;;;;;0.506 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M61;RB-16V4000M61-001658;247;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
535D01022/1;535D01022/1;535D01022/1;20V4000M93;20VM93;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93-0318-01-1000.webp;SIGHT GLASS;SIGHT GLASS;New;New;;;;;;0.257 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;20V4000M93;RB-20V4000M93-002914;318;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
535D01023/1;535D01023/1;535D01023/1;20V4000M93;20VM93;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93-0318-01-1100.webp;GASKET;GASKET;New;New;535D01023/1;535D01023/1;635D01023/1;635D01023/1;;0.007 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;20V4000M93;RB-20V4000M93-002916;318;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
535D01508/1;535D01508/1;535D01508/1;20V4000M93;20VM93;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93-0318-01-1050.webp;COOL LEVEL DISPLAY UPPER PART;COOL LEVEL DISPLAY UPPER PART;New;New;;;;;;0.463 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;20V4000M93;RB-20V4000M93-002915;318;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000611;000000000611;000000000611;12V4000M40A;12VM40A;;;;;;OVAL-HEAD SCREW;OVAL-HEAD SCREW;New;New;;;;;M 3 X 6;0.006 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-002435;359;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
635A16700/2;635A16700/2;635A16700/2;20V4000M93L;20VM93L;202;;202;20VM93L-202;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93L-1374-01-400.webp;VALVE BALL ASM;VALVE BALL ASM;New;New;;;;;;0.207 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;20V4000M93L;RB-20V4000M93L-002253;1374;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
635D16007/1;635D16007/1;635D16007/1;16V4000M73;16VM73;202;COOLANT CIRCUIT, GENERAL, HT CIRCUIT;202 COOLANT CIRCUIT, GENERAL, HT CIRCUIT;16VM73-202;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0268-02-340.webp;THREADED BUSHING;THREADED BUSHING;New;New;;;;;;0.182 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M73;RB-16V4000M73-002141;271;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000668;000000000668;000000000668;12V4000M40A;12VM40A;18;CRANKCASE BREATHER;18 CRANKCASE BREATHER;12VM40A-18;;CLAMP;CLAMP;New;New;000000000668;000000000668;0069970490, 916018025000, 700433024000, 916026028000, 916026025000, 0009976290, 916017025000;0069970490, 916018025000, 700433024000, 916026028000, 916026025000, 0009976290, 916017025000;25- 40X12-SW8-W3;0.026 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000143;29;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000670;000000000670;000000000670;16V4000M73;16VM73;18;CRANKCASE BREATHER;18 CRANKCASE BREATHER;16VM73-18;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0041-01-6300.webp;CLAMP;CLAMP;New;New;000000000670;000000000670;916017032000;916017032000;35- 50X12-SW8-W3;0.029 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M73;RB-16V4000M73-000274;45;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000671;000000000671;000000000671;16V4000M73;16VM73;18;CRANKCASE BREATHER;18 CRANKCASE BREATHER;16VM73-18;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0041-01-6450.webp;CLAMP;CLAMP;New;New;000000000671;000000000671;700433036000, 916026036000, 0009971590, 0009971690, 916017040000;700433036000, 916026036000, 0009971590, 0009971690, 916017040000;40- 60X12-SW8-W3;0.032 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M73;RB-16V4000M73-000276;45;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000897;000000000897;000000000897;16V4000M73;16VM73;11;CRANKCASE;11 CRANKCASE;16VM73-11;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0026-01-260.webp;HEX SCREW;HEX SCREW;New;New;;;;;M 10 X 40;0.03 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M73;RB-16V4000M73-000044;26;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000904;000000000904;000000000904;12V4000M53;12VM53;24;GEARCASE, AUX PTO END;24 GEARCASE, AUX PTO END;12VM53-24;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0048-01-230.webp;HEX SCREW;HEX SCREW;New;New;;;;;M 12 X 80;0.075 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-000291;48;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000905;000000000905;000000000905;16V4000M73;16VM73;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0294-01-900.webp;HEX SCREW;HEX SCREW;New;New;;;;;M 12 X 40;0.044 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M73;RB-16V4000M73-002473;294;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000906;000000000906;000000000906;12V4000M53;12VM53;143;CARRIER HOUSING;143 CARRIER HOUSING;12VM53-143;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0170-01-1600.webp;HEX SCREW;HEX SCREW;New;New;;;;;M 10 X 80;0.05 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-001259;170;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001039;000000001039;000000001039;12V4000M40A;12VM40A;202;COOLANT CIRCUIT, GENERAL, HT CIRCUIT;202 COOLANT CIRCUIT, GENERAL, HT CIRCUIT;12VM40A-202;;HEX SCREW;HEX SCREW;New;New;;;;;M 10 X 40;0.03 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001693;257;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001040;000000001040;000000001040;12V4000M40A;12VM40A;202;COOLANT CIRCUIT, GENERAL, HT CIRCUIT;202 COOLANT CIRCUIT, GENERAL, HT CIRCUIT;12VM40A-202;;HEX SCREW;HEX SCREW;New;New;000000001040;000000001040;000000001040/90;000000001040/90;M 12 X 60;0.057 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001714;258;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001041;000000001041;000000001041;12V4000M53;12VM53;124;AIR SUPPLY TO CYLINDERS;124 AIR SUPPLY TO CYLINDERS;12VM53-124;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0157-01-400.webp;HEX SCREW;HEX SCREW;New;New;;;;;M 10 X140;0.091 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-001131;158;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001042;000000001042;000000001042;12V4000M40A;12VM40A;81;FUEL PIPEWORK BEFORE DELIVERY PUMP;81 FUEL PIPEWORK BEFORE DELIVERY PUMP;12VM40A-81;;HEX SCREW;HEX SCREW;New;New;;;;;M 10 X 50;0.035 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000590;105;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001076;000000001076;000000001076;12V4000M40A;12VM40A;507;WIRING, GEBERAL, FOR ENGINE/GEARBOX/PLANT;507 WIRING, GEBERAL, FOR ENGINE/GEARBOX/PLANT;12VM40A-507;;HEX SCREW;HEX SCREW;New;New;;;;;M 10 X 70;0.045 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-002160;332;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001077;000000001077;000000001077;12V4000M53;12VM53;200;COOLANT SYSTEM;200 COOLANT SYSTEM;12VM53-200;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0228-01-650.webp;HEX SCREW;HEX SCREW;New;New;;;;;M 12 X110;0.105 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-001752;228;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001078;000000001078;000000001078;12V4000M53;12VM53;231;ENGINE MOUNTING;231 ENGINE MOUNTING;12VM53-231;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0287-01-120.webp;HEX SCREW;HEX SCREW;New;New;;;;;M 12 X 60;0.058 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-002348;287;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001270;000000001270;000000001270;12V4000M53;12VM53;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0085-01-40.webp;BUSHING;BUSHING;New;New;000000001270;000000001270;201850032400;201850032400;C 32 X 36 X 20;0.037 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-000486;85;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001393;000000001393;000000001393;12V4000M53;12VM53;;;;;;COUNTERSUNK HD SCREW;COUNTERSUNK HD SCREW;New;New;;;;;M 4 X 8;0.001 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-006662;827;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001444;000000001444;000000001444;12V4000M40A;12VM40A;;;;;;HEX SCREW;HEX SCREW;New;New;;;;;M 6 X 20;0.006 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000161;31;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001463;000000001463;000000001463;12V4000M53;12VM53;18;CRANKCASE BREATHER;18 CRANKCASE BREATHER;12VM53-18;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0039-02-6870.webp;HEX SCREW;HEX SCREW;New;New;000000001463;000000001463;304017008052;304017008052;M 8 X 80;0.03 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-000264;42;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001464;000000001464;000000001464;12V4000M40A;12VM40A;80;"L.P. FUEL SYSTEM; (ALSO GAS ENGINES)";"80 L.P. FUEL SYSTEM; (ALSO GAS ENGINES)";12VM40A-80;;HEX SCREW;HEX SCREW;New;New;;;;;M 10 X 30;0.025 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000534;98;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001465;000000001465;000000001465;12V4000M53;12VM53;206;COOLANT PIPEWORK WITH THERMOSTAT;206 COOLANT PIPEWORK WITH THERMOSTAT;12VM53-206;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0263-02-1150.webp;HEX SCREW;HEX SCREW;New;New;000000001465;000000001465;5269900601, 5249901601, DDE 08929357, X59599100128, 08929357M, 08929357;5269900601, 5249901601, DDE 08929357, X59599100128, 08929357M, 08929357;M 10 X120;0.079 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-002198;264;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001710;000000001710;000000001710;12V4000M53;12VM53;140;EXHAUST SYSTEM;140 EXHAUST SYSTEM;12VM53-140;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0162-01-3620.webp;HEX SCREW;HEX SCREW;New;New;;;;;M 12 X 70;0.067 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-001219;164;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001781;000000001781;000000001781;12V4000M40A;12VM40A;;;;;;HEX SCREW;HEX SCREW;New;New;;;;;M 6 X 90;0.021 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000686;121;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002063;000000002063;000000002063;16V4000M73;16VM73;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0220-01-310.webp;PLUG;PLUG;New;New;;;;;G 2 A;0.672 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M73;RB-16V4000M73-001624;222;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002088;000000002088;000000002088;12V4000M53;12VM53;200;COOLANT SYSTEM;200 COOLANT SYSTEM;12VM53-200;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0233-02-1200.webp;HEX SCREW;HEX SCREW;New;New;;;;;M 12 X 80;0.072 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-001797;234;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002215;000000002215;000000002215;12V4000M53;12VM53;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0362-01-340.webp;HEX NUT;HEX NUT;New;New;;;;;M 5;0.001 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-003106;362;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002218;000000002218;000000002218;12V4000M53;12VM53;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0362-01-360.webp;HEX NUT;HEX NUT;New;New;;;;;M 6;0.002 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-003108;362;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002221;000000002221;000000002221;20V4000M93L;20VM93L;180;;180;20VM93L-180;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93L-1330-01-4950.webp;HEX NUT;HEX NUT;New;New;;;;;M 8;0.005 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;20V4000M93L;RB-20V4000M93L-001789;1332;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002276;000000002276;000000002276;12V4000M53;12VM53;111;CHARGE AIR COOLING, GENERAL, LEFT SIDE;111 CHARGE AIR COOLING, GENERAL, LEFT SIDE;12VM53-111;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0138-01-400.webp;HEX SCREW;HEX SCREW;New;New;;;;;M 16 X110;0.18 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-000985;138;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002491;000000002491;000000002491;12V4000M70;12VM70;125;;125;12VM70-125;;DISC;DISC;New;New;;;;;12;0.006 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M70;RB-12V4000M70-001050;165;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002527;000000002527;000000002527;16V4000M73;16VM73;110;CHARGE-AIR COOLING / GAS MIXTURE COOLING;110 CHARGE-AIR COOLING / GAS MIXTURE COOLING;16VM73-110;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0151-01-90.webp;HEX SCREW;HEX SCREW;New;New;;;;;M 12 X 90;0.079 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M73;RB-16V4000M73-000999;151;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
2547.000;2547.000;2547.000;20V4000M93;20VM93;11;CRANKCASE;11 CRANKCASE;20VM93-11;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93-0023-01-60.webp;CRANKCASE k;CRANKCASE k;New;New;;;;;;;;;;;;;;;;import;qa_ok_importar_found;true;1;20V4000M93;RB-20V4000M93-000024;23;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002610;000000002610;000000002610;16V4000M61;16VM61;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M61-0293-01-220.webp;HEX SCREW;HEX SCREW;New;New;;;;;M 20 X 50;0.176 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M61;RB-16V4000M61-001870;293;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002625;000000002625;000000002625;16V4000M73;16VM73;205;COOLANT COOLER ATTACHING H/WARE;205 COOLANT COOLER ATTACHING H/WARE;16VM73-205;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0283-01-30.webp;HEX SCREW;HEX SCREW;New;New;;;;;M 20 X 75;0.224 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;16V4000M73;RB-16V4000M73-002339;283;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002668;000000002668;000000002668;12V4000M53;12VM53;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0362-01-170.webp;SCREW;SCREW;New;New;;;;;M 4 X 12;0.002 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M53;RB-12V4000M53-003092;362;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002701;000000002701;000000002701;12V4000M70;12VM70;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0167-01-750.webp;HEX SCREW;HEX SCREW;New;New;;;;;M 6 X 12;0.005 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M70;RB-12V4000M70-001086;167;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002870;000000002870;000000002870;12V4000M70;12VM70;125;;125;12VM70-125;;HEX SCREW;HEX SCREW;New;New;;;;;M 12 X 20;0.03 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M70;RB-12V4000M70-001049;165;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
