sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
B00E50205323;COVER F/MONTRG SYST + GOV;RAL 9003;1,820 kg;discard;qa_ok_eliminar_found;true;1;12V4000M53;RB-12V4000M53-006681;827;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":1,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
X00E50209299;CONNECTING CABLE FOR OIL PRIMING PUM;L=10M;1.8 KGM;discard;qa_ok_eliminar_found;true;1;12V4000M53;RB-12V4000M53-006614;816;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":1,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
XP52718300041;FLANGE;;;discard;qa_ok_eliminar_found;true;3;16V4000M73;RB-16V4000M73-001616, RB-16V4000M73-004810, RB-16V4000M73-008016;221, 575, 930;"{""total_rows"":3,""count_ok_importar"":0,""count_ok_eliminar"":3,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
XP52718300042;OVERFLOW VALVE;;0.074 KGM;discard;qa_ok_eliminar_found;true;3;16V4000M73;RB-16V4000M73-001622, RB-16V4000M73-004816, RB-16V4000M73-008022;221, 575, 930;"{""total_rows"":3,""count_ok_importar"":0,""count_ok_eliminar"":3,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
XP52799100697;CONNECTING PIPE;;;discard;qa_ok_eliminar_found;true;3;16V4000M73;RB-16V4000M73-001608, RB-16V4000M73-004802, RB-16V4000M73-008008;221, 575, 930;"{""total_rows"":3,""count_ok_importar"":0,""count_ok_eliminar"":3,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
