Id;fecha_version;POS;designation;engine;model_type;type;pn;nsn;GESA_NORM;GESA_NORMALIZADO;fg_code;fg_description;fg_code_description;weight;weight_txt;measurement;TIPOARTICULO;PAG;BOM_no;esquema_general;exp_motor;exp_categorias;atributo;SUST_TIPO;new_pn_relacionado;old_pn_relacionados;old_number_01;old_ruta_01;old_number_02;old_ruta_02;old_number_03;old_ruta_03;old_number_04;old_ruta_04;old_number_05;old_ruta_05;old_number_06;old_ruta_06;old_number_07;old_ruta_07;old_number_08;old_ruta_08;old_number_09;old_ruta_09;old_number_10;old_ruta_10;old_number_11;old_ruta_11;old_number_12;old_ruta_12;old_number_13;old_ruta_13;old_number_14;old_ruta_14;old_number_15;old_ruta_15;old_number_16;old_ruta_16;old_number_17;old_ruta_17;old_number_18;old_ruta_18;EN_EXCEL_SUSTITUCION;ruta_foto;exp_imagenes
RB-16V4000M61-002143;20260606.0305;120;THREADED BUSHING;16V4000M61, 16V4000M90;16VM61, 16VM90;;5249970716;;;NO;;;;0.035 KGM;0.035 KGM;;piezas;16V4000M61-0341, 16V4000M61-0810, 16V4000M90-0307;5275305222;16V4000M61-0341-01.webp, 16V4000M61-0810-01.webp, 16V4000M90-0307-01.webp;16V4000M61, 16V4000M90;;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0341-01-120.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0341-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0810-01-120.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0810-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M90-POS/16V4000M90-0307-01-120.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M90-POS/16V4000M90-0307-01.webp
RB-12V4000M40A-000956;20260606.0305;65;FITTING UNION ADAPTER X G1/8 A;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12VM40A, 12VM70, 16VM61, 16VM90;;5249971272;;;NO;144-05;EXHAUST FLOW CONTROL FLAP WITH CONTROLS;144 EXHAUST FLOW CONTROL FLAP WITH CONTROLS;0.022 KGM;0.022 KGM;;piezas;12V4000M40A-0160, 12V4000M70-0190, 12V4000M70-0529, 16V4000M61-0163, 16V4000M61-0667, 16V4000M90-0170;140.00235;12V4000M40A-0160-01.webp, 12V4000M70-0190-01.webp, 12V4000M70-0529-01.webp, 16V4000M61-0163-01.webp, 16V4000M61-0667-01.webp, 16V4000M90-0170-01.webp;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12VM40A-144, 12VM70-144, 16VM61-144, 16VM90-144;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0160-01-65.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0160-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0190-01-65.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0190-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0529-01-65.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0529-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0163-01-65.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0163-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0667-01-65.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0667-01.webp
RB-12V4000M40A-000652;20260606.0305;75;UNION M12X1.50X21 X M10X1.00;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12VM40A, 12VM70, 16VM61, 16VM90;;5249971372;4730123814532;;NO;086-05;LEAK-OFF FUEL LINE / FUEL RETURN;86 LEAK-OFF FUEL LINE / FUEL RETURN;0.014 KGM;0.014 KGM;;piezas;12V4000M40A-0115, 12V4000M70-0126, 12V4000M70-0465, 16V4000M61-0112, 16V4000M61-0616, 16V4000M90-0116;080.00270;12V4000M40A-0115-01.webp, 12V4000M70-0126-01.webp, 12V4000M70-0465-01.webp, 16V4000M61-0112-01.webp, 16V4000M61-0616-01.webp, 16V4000M90-0116-01.webp;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12VM40A-86, 12VM70-86, 16VM61-86, 16VM90-86;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0115-01-75.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0115-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0126-01-75.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0126-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0465-01-75.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0465-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0112-01-75.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0112-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0616-01-75.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0616-01.webp
RB-12V4000M40A-001719;20260606.0305;335;ADAPTER 60DEG M14X1.5;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12VM40A, 12VM70, 16VM61, 16VM90;;5249972672;4730123871153;;NO;202-65;COOLANT CIRCUIT, GENERAL, HT CIRCUIT;202 COOLANT CIRCUIT, GENERAL, HT CIRCUIT;0.026 KGM;0.026 KGM;;piezas;12V4000M40A-0258, 12V4000M70-0252, 12V4000M70-0253, 12V4000M70-0254, 12V4000M70-0589, 12V4000M70-0590, 12V4000M70-0591, 16V4000M61-0232, 16V4000M61-0734, 16V4000M90-0221, 16V4000M90-0222, 16V4000M90-0223;200.00600;12V4000M40A-0256-01.webp, 12V4000M40A-0256-02.webp, 12V4000M40A-0257-01.webp, 12V4000M70-0247-01.webp, 12V4000M70-0247-02.webp, 12V4000M70-0248-01.webp, 12V4000M70-0248-02.webp, 12V4000M70-0249-01.webp, 12V4000M70-0249-02.webp, 12V4000M70-0250-01.webp, 12V4000M70-0250-02.webp, 12V4000M70-0251-01.webp, 12V4000M70-0584-01.webp, 12V4000M70-0584-02.webp, 12V4000M70-0585-01.webp, 12V4000M70-0585-02.webp, 12V4000M70-0586-01.webp, 12V4000M70-0586-02.webp, 12V4000M70-0587-01.webp, 12V4000M70-0587-02.webp, 12V4000M70-0588-01.webp, 16V4000M61-0227-01.webp, 16V4000M61-0227-02.webp, 16V4000M61-0228-01.webp, 16V4000M61-0228-02.webp, 16V4000M61-0229-01.webp, 16V4000M61-0229-02.webp, 16V4000M61-0230-01.webp, 16V4000M61-0230-02.webp, 16V4000M61-0231-01.webp, 16V4000M61-0729-01.webp, 16V4000M61-0729-02.webp, 16V4000M61-0730-01.webp, 16V4000M61-0730-02.webp, 16V4000M61-0731-01.webp, 16V4000M61-0731-02.webp, 16V4000M61-0732-01.webp, 16V4000M61-0732-02.webp, 16V4000M61-0733-01.webp, 16V4000M90-0216-01.webp, 16V4000M90-0216-02.webp, 16V4000M90-0217-01.webp, 16V4000M90-0217-02.webp, 16V4000M90-0218-01.webp, 16V4000M90-0218-02.webp, 16V4000M90-0219-01.webp, 16V4000M90-0219-02.webp, 16V4000M90-0220-01.webp;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12VM40A-202, 12VM70-200, 16VM61-200, 16VM90-202;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0256-01-335.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0256-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0256-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0257-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0247-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0247-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0248-01-1420.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0248-01-2440.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0248-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0248-02.webp
RB-16V4000M73-000742;20260606.0305;50;FITTING;16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;16VM73, 16VM73L, 20VM93, 20VM93L;;5249973172;4730124005848;;NO;;;;0.117 KGM;0.117 KGM;;piezas;16V4000M73-0125, 16V4000M73-0479, 16V4000M73-0833, 16V4000M73-1188, 16V4000M73L-0113, 16V4000M73L-0598, 16V4000M73L-0943, 16V4000M73L-1286, 20V4000M93-0125, 20V4000M93-0521, 20V4000M93-0917, 20V4000M93-1313, 20V4000M93L-1224, 20V4000M93L-1601;X59408300026;16V4000M73-0125-01.webp, 16V4000M73-0479-01.webp, 16V4000M73-0833-01.webp, 16V4000M73-1188-01.webp, 16V4000M73L-0113-01.webp, 16V4000M73L-0598-01.webp, 16V4000M73L-0943-01.webp, 16V4000M73L-1286-01.webp, 20V4000M93-0125-01.webp, 20V4000M93-0521-01.webp, 20V4000M93-0917-01.webp, 20V4000M93-1313-01.webp, 20V4000M93L-1224-01.webp, 20V4000M93L-1601-01.webp;16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-0125-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-0125-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-0479-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-0479-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-0833-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-0833-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-1188-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-1188-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73L-POS/16V4000M73L-0113-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73L-POS/16V4000M73L-0113-01.webp
RB-12V4000M40A-002707;20260606.0305;75;MEMORY MODULE;12V4000M40A, 12V4000M70, 16V4000M61;12VM40A, 12VM70, 16VM61;;5255380580;5998123768773;;NO;;;;0.015 KGM;0.015 KGM;;piezas;12V4000M40A-0404, 12V4000M70-0343, 12V4000M70-0680, 16V4000M61-0363, 16V4000M61-0832;5275307654;12V4000M40A-0404-01.webp, 12V4000M70-0342-01.webp, 12V4000M70-0342-02.webp, 12V4000M70-0679-01.webp, 12V4000M70-0679-02.webp, 16V4000M61-0362-01.webp, 16V4000M61-0362-02.webp, 16V4000M61-0831-01.webp, 16V4000M61-0831-02.webp;12V4000M40A, 12V4000M70, 16V4000M61;;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0404-01-75.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0404-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0342-01-75.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0342-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0342-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0679-01-75.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0679-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0679-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0362-01-75.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0362-01.webp
RB-12V4000M40A-000010;20260606.0305;85;COVER;12V4000M40A, 12V4000M70;12VM40A, 12VM70;;5260101714;;;NO;011-05;CRANKCASE;11 CRANKCASE;30.5 KGM;30.5 KGM;;piezas;12V4000M40A-0013, 12V4000M70-0024, 12V4000M70-0363;010.00475;12V4000M40A-0012-01.webp, 12V4000M40A-0012-02.webp, 12V4000M70-0023-01.webp, 12V4000M70-0023-02.webp, 12V4000M70-0362-01.webp, 12V4000M70-0362-02.webp;12V4000M40A, 12V4000M70;12VM40A-11, 12VM70-11;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0012-01-85.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0012-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0012-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0023-01-85.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0023-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0023-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0362-01-85.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0362-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0362-02.webp
RB-12V4000M40A-000024;20260606.0305;5;CRANKCASE;12V4000M40A, 12V4000M70;12VM40A, 12VM70;;5260111501;;;NO;;;;;;;piezas;12V4000M40A-0014, 12V4000M70-0025, 12V4000M70-0364;5260101605;12V4000M40A-0014-01.webp, 12V4000M70-0025-01.webp, 12V4000M70-0364-01.webp;12V4000M40A, 12V4000M70;;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0014-01-5.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0014-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0025-01-5.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0025-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0364-01-5.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0364-01.webp
RB-12V4000M40A-000137;20260606.0305;105;SUPPORT;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12VM40A, 12VM70, 16VM61, 16VM90;;5260140095;2815123733922;;NO;018-12;CRANKCASE BREATHER;18 CRANKCASE BREATHER;0.875 KGM;0.875 KGM;;piezas;12V4000M40A-0029, 12V4000M70-0041, 12V4000M70-0380, 16V4000M61-0028, 16V4000M61-0535, 16V4000M90-0034;010.00367;12V4000M40A-0029-01.webp, 12V4000M70-0041-01.webp, 12V4000M70-0380-01.webp, 16V4000M61-0028-01.webp, 16V4000M61-0535-01.webp, 16V4000M90-0034-01.webp;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12VM40A-18, 12VM70-18, 16VM61-18, 16VM90-18;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0029-01-105.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0029-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0041-01-105.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0041-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0380-01-105.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0380-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0028-01-100.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0028-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0535-01-100.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0535-01.webp
RB-12V4000M40A-000269;20260606.0305;45;FLYWHEEL;12V4000M40A;12VM40A;;5260300105/30;2815123786727;;NO;032-10;CRANKSHAFT, PTO ON DRIVING END;32 CRANKSHAFT, PTO ON DRIVING END;120 KGM;120 KGM;;piezas;12V4000M40A-0048;030.00047;12V4000M40A-0048-01.webp;12V4000M40A;12VM40A-32;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0048-01-45.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0048-01.webp
RB-12V4000M40A-000595;20260606.0305;1850;TUBE LOW PRESSURE FUEL;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12VM40A, 12VM70, 16VM61, 16VM90;;5260700132;4710123814612;;NO;081-05;FUEL PIPEWORK BEFORE DELIVERY PUMP;81 FUEL PIPEWORK BEFORE DELIVERY PUMP;0.602 KGM;0.602 KGM;;piezas;12V4000M40A-0105, 12V4000M70-0114, 12V4000M70-0453, 16V4000M61-0096, 16V4000M61-0603, 16V4000M90-0120;X00030241;12V4000M40A-0102-01.webp, 12V4000M40A-0102-02.webp, 12V4000M40A-0103-01.webp, 12V4000M40A-0103-02.webp, 12V4000M40A-0104-01.webp, 12V4000M70-0111-01.webp, 12V4000M70-0111-02.webp, 12V4000M70-0112-01.webp, 12V4000M70-0112-02.webp, 12V4000M70-0113-01.webp, 12V4000M70-0450-01.webp, 12V4000M70-0450-02.webp, 12V4000M70-0451-01.webp, 12V4000M70-0451-02.webp, 12V4000M70-0452-01.webp, 16V4000M61-0093-01.webp, 16V4000M61-0093-02.webp, 16V4000M61-0094-01.webp, 16V4000M61-0094-02.webp, 16V4000M61-0095-01.webp, 16V4000M61-0600-01.webp, 16V4000M61-0600-02.webp, 16V4000M61-0601-01.webp, 16V4000M61-0601-02.webp, 16V4000M61-0602-01.webp, 16V4000M90-0117-01.webp, 16V4000M90-0117-02.webp, 16V4000M90-0118-01.webp, 16V4000M90-0118-02.webp, 16V4000M90-0119-01.webp;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12VM40A-81, 12VM70-81, 16VM61-80, 16VM90-86;;New;5260700132;5240903576;5240903576;https://milu-naval.com/producto/5240903576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0102-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0102-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0103-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0103-02-1850.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0103-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0104-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0111-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0111-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0112-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0112-02-1850.webp
RB-12V4000M40A-001433;20260606.0305;325;FUEL LINE;12V4000M40A, 12V4000M70, 16V4000M61;12VM40A, 12VM70, 16VM61;;5260700232;4710123814601;;NO;200-00;COOLANT SYSTEM;200 COOLANT SYSTEM;0.119 KGM;0.119 KGM;;piezas;12V4000M40A-0230, 12V4000M70-0239, 12V4000M70-0576, 16V4000M61-0219, 16V4000M61-0721;X00030235;12V4000M40A-0229-01.webp, 12V4000M40A-0229-02.webp, 12V4000M40A-0230-01.webp, 12V4000M70-0238-01.webp, 12V4000M70-0238-02.webp, 12V4000M70-0239-01.webp, 12V4000M70-0575-01.webp, 12V4000M70-0575-02.webp, 12V4000M70-0576-01.webp, 16V4000M61-0218-01.webp, 16V4000M61-0218-02.webp, 16V4000M61-0219-01.webp, 16V4000M61-0720-01.webp, 16V4000M61-0720-02.webp, 16V4000M61-0721-01.webp;12V4000M40A, 12V4000M70, 16V4000M61;12VM40A-200, 12VM70-200, 16VM61-200;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0229-01-325.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0229-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0229-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0230-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0238-01-325.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0238-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0238-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0239-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0575-01-325.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0575-01.webp
RB-12V4000M40A-000610;20260606.0305;2675;KST-SAMMELLEITUNG LEFT;12V4000M40A, 12V4000M70;12VM40A, 12VM70;;5260700438;;;NO;081-05;FUEL PIPEWORK BEFORE DELIVERY PUMP;81 FUEL PIPEWORK BEFORE DELIVERY PUMP;1.255 KGM;1.255 KGM;;piezas;12V4000M40A-0105, 12V4000M70-0115, 12V4000M70-0454;X00030241;12V4000M40A-0102-01.webp, 12V4000M40A-0102-02.webp, 12V4000M40A-0103-01.webp, 12V4000M40A-0103-02.webp, 12V4000M40A-0104-01.webp, 12V4000M70-0111-01.webp, 12V4000M70-0111-02.webp, 12V4000M70-0112-01.webp, 12V4000M70-0112-02.webp, 12V4000M70-0113-01.webp, 12V4000M70-0450-01.webp, 12V4000M70-0450-02.webp, 12V4000M70-0451-01.webp, 12V4000M70-0451-02.webp, 12V4000M70-0452-01.webp;12V4000M40A, 12V4000M70;12VM40A-81, 12VM70-81;;New;5260700438;5260700338;5260700338;https://milu-naval.com/producto/5260700338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0102-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0102-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0103-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0103-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0104-01-2675.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0104-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0111-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0111-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0112-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0112-02.webp
