sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
0002035183;RUBBER BELLOWS;STD EL 120MM, DN 50 MM;4.594 KGM;pending_review;qa_pending_or_review_found;false;2;20V4000M93L;RB-20V4000M93L-002937, RB-20V4000M93L-006567;1421, 1801;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
000137020203;SPRING WASHER;B 20;0.007 KGM;pending_review;qa_pending_or_review_found;false;4;20V4000M93L;RB-20V4000M93L-002793, RB-20V4000M93L-003099, RB-20V4000M93L-006423, RB-20V4000M93L-006753;1407, 1451, 1787, 1835;"{""total_rows"":4,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":4,""count_review_action"":4,""count_other"":4}";pending_review;qa_pending_or_review_found
000912016003;SCREW;M 16 X 40;0.093 KGM;pending_review;qa_pending_or_review_found;false;4;20V4000M93L;RB-20V4000M93L-003006, RB-20V4000M93L-003015, RB-20V4000M93L-006636, RB-20V4000M93L-006645;1432, 1433, 1812, 1813;"{""total_rows"":4,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":4,""count_review_action"":4,""count_other"":4}";pending_review;qa_pending_or_review_found
000931008075;HEX SCREW;M 8 X 45;0.021 KGM;pending_review;qa_pending_or_review_found;false;1;12V4000M40A;RB-12V4000M40A-000046;16;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
000931024029;HEX SCREW;M 24 X100;0.435 KGM;pending_review;qa_pending_or_review_found;false;2;20V4000M93L;RB-20V4000M93L-003069, RB-20V4000M93L-006700;1443, 1823;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
204032010003;HEX NUT;M 10;0.009 KGM;pending_review;qa_pending_or_review_found;false;2;20V4000M93L;RB-20V4000M93L-001600, RB-20V4000M93L-005230;1308, 1688;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
X00E50208755;MALE CONNECTOR;2-POL. BUCHSENGEHAEUSE;5,000 g;pending_review;qa_pending_or_review_found;false;1;12V4000M53;RB-12V4000M53-006569;804;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
X00031109;LEVEL MONITOR;WASSERSONDE DYN.UB-VERHALTEN&AMP;195.000 g;pending_review;qa_pending_or_review_found;false;2;20V4000M93L;RB-20V4000M93L-003534, RB-20V4000M93L-007188;1486, 1870;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
X52718300010/31;AUTOMATIC OIL FILTER LR ACCEPTANCE;;125.000 kg;pending_review;qa_pending_or_review_found;false;1;16V4000M73;RB-16V4000M73-011208;1283;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
