Id;fecha_version;POS;designation;engine;model_type;type;pn;nsn;GESA_NORM;GESA_NORMALIZADO;fg_code;fg_description;fg_code_description;weight;weight_txt;measurement;TIPOARTICULO;PAG;BOM_no;esquema_general;exp_motor;exp_categorias;atributo;SUST_TIPO;new_pn_relacionado;old_pn_relacionados;EN_EXCEL_SUSTITUCION;ruta_foto;exp_imagenes
RB-12V4000M40A-000158;20260605.0224;200;OIL SEPARATOR;12V4000M40A;12VM40A;;014600000;4330123733874;;NO;;;;1.121 KGM;1.121 KGM;;piezas;12V4000M40A-0031;X00014074;12V4000M40A-0031-01.webp;12V4000M40A;;;Superseded;0000187135;014600000, 0000186735;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-002392;20260605.0224;490;RESISTOR;12V4000M40A;12VM40A;;0015310101;5905121889569;;NO;;;;0.001 KGM;0.001 KGM;TK50 1% 0,4W;piezas;12V4000M40A-0358;5185302185;12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp;12V4000M40A;;;Superseded;0015318702;0015310101, 0005314501;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-002393;20260605.0224;495;RESISTOR;12V4000M40A;12VM40A;;0015314701;5905121622831;;NO;;;;0.001 KGM;0.001 KGM;TK50, 1%, 10K, 0,4W;piezas;12V4000M40A-0358;5185302185;12V4000M40A-0356-01.webp, 12V4000M40A-0356-02.webp, 12V4000M40A-0357-01.webp;12V4000M40A;;;Superseded;0005318002;0015314701, 0005312101, 0025313002;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M53-006561;20260605.0224;270;PLATE F.CONDUCTOR MARKING;12V4000M53;12VM53;;0015314782;9905124019659;;NO;;;;0.015 KGM;0.015 KGM;40X12MM;piezas;12V4000M53-0809;X00E50208275;12V4000M53-0808-01.webp;12V4000M53;;;Superseded;X00E50209110;0015314782, X00013618, B00E50202209;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-002052;20260605.0224;65;TERMINAL;12V4000M40A;12VM40A;;0015317081;5970123379009;;NO;;;;0.05 KGM;0.05 KGM;B = 10 MM;piezas;12V4000M40A-0319;X00E52800003;12V4000M40A-0319-01.webp;12V4000M40A;;;Superseded;0045318081;0015317081, 0045315281;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-002047;20260605.0224;50;FUSE;12V4000M40A;12VM40A;;0015317386;5920123567294;;NO;;;;0.001 KGM;0.001 KGM;TR3,D=6,H=8,3,15A/FLINK,125V;piezas;12V4000M40A-0317;5295309512;12V4000M40A-0317-01.webp;12V4000M40A;;;Superseded;0015317686;0015317386;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-002641;20260605.0224;345;ATTACHING ELEMENT;12V4000M40A;12VM40A;;0015318481;;;NO;;;;;;TYP MB 3 A;piezas;12V4000M40A-0388;5105302438;12V4000M40A-0387-01.webp;12V4000M40A;;;Superseded;X00E50207844;0015318481;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-16V4000M73-002875;20260605.0224;4000;CABLE CLAMP;16V4000M73;16VM73;;0015319082;5975123869364;;NO;507-98;WIRING, GENERAL, FOR ENGINE/GEARBOX/PLANT;507 WIRING, GENERAL, FOR ENGINE/GEARBOX/PLANT;0.001 KGM;0.001 KGM;M.STECKFUSS F. M8 AUSSENVERZAHN;piezas;16V4000M73-0331;XS595500.00022;16V4000M73-0327-01.webp, 16V4000M73-0327-02.webp, 16V4000M73-0328-01.webp, 16V4000M73-0328-02.webp, 16V4000M73-0329-01.webp;16V4000M73;16VM73-507;;Superseded;X00026945;0015319082;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0328-01-4000.webp
RB-12V4000M40A-002758;20260605.0224;35;PRESSURE SENSOR;12V4000M40A;12VM40A;;0015350031;6685123593172;;NO;511-10;ALARM SYSTEM;511 ALARM SYSTEM;0.38 KGM;0.38 KGM;50 BAR RELATIV;piezas;12V4000M40A-0414;510.00515;12V4000M40A-0414-01.webp;12V4000M40A;12VM40A-511;;Superseded;0055351531;0015350031, 0015354431, 0025353731;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-002758;20260605.0224;35;PRESSURE SENSOR;12V4000M40A;12VM40A;;0015354431;6685123593172;;NO;511-10;ALARM SYSTEM;511 ALARM SYSTEM;0.38 KGM;0.38 KGM;50 BAR RELATIV;piezas;12V4000M40A-0414;510.00515;12V4000M40A-0414-01.webp;12V4000M40A;12VM40A-511;;Superseded;0055351531;0015350031, 0015354431, 0025353731;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-002266;20260605.0224;290;DIFF-PRESS MONITOR;12V4000M40A;12VM40A;;0015359602;5930123972797;;NO;507-99;WIRING, GEBERAL, FOR ENGINE/GEARBOX/PLANT;507 WIRING, GEBERAL, FOR ENGINE/GEARBOX/PLANT;0.155 KGM;0.155 KGM;M18X1,5,SCHALTDR.2,2BAR, OEFFNER;piezas;12V4000M40A-0345;500.00987;12V4000M40A-0344-01.webp, 12V4000M40A-0344-02.webp, 12V4000M40A-0345-01.webp;12V4000M40A;12VM40A-507;;Superseded;X00E50201396;0015359602;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
