model,engine_id,rebuild_id,block,field,diff_type,engine_value,rebuild_value
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,pn_recomendado,empty_vs_value,5105306662/76,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,precio,empty_vs_value,0,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,Product Hierarchy,empty_vs_value,Q10,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,qa_revision_confianza,empty_vs_value,0.95,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,qa_revision_fecha,empty_vs_value,2026-05-04T15:33:39.441Z,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,qa_revision_motivo,empty_vs_value,PN encontrado en SUST,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,qa_revision_origen,empty_vs_value,auto,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,qa_revision_regla_aplicada,empty_vs_value,C|D,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,qa_revision_updated_at,empty_vs_value,2026-05-23T02:32:35.296Z,
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,qty_units_final,empty_vs_value,,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,rebuild_match_status,expected_rebuild_diff,__undefined__,unique
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,rebuild_source_confidence,expected_rebuild_diff,__undefined__,1
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,rebuild_source_page,expected_rebuild_diff,__undefined__,373
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,rebuild_source_row_index,expected_rebuild_diff,__undefined__,1
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,rebuild_source_warnings,expected_rebuild_diff,__undefined__,[]
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,Replacement Type,empty_vs_value,,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,Seq no,empty_vs_value,0001,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,source_file,empty_vs_value,12V4000M40A.xlsx,book_preview_12V4000M40A.json
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,source_sheet,empty_vs_value,1,
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,status,empty_vs_value,OK_SUST_OLD,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,subst_pnlist_final,empty_vs_value,5105306662,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,Superseded Part Number,empty_vs_value,5105306662,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,sust_status_final,empty_vs_value,SI,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,SUST_TIPO,empty_vs_value,Superseded,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,Valid From Date,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,identity,ID,expected_rebuild_diff,1100050,RB-12V4000M40A-001271
12V4000M40A,1100050,RB-12V4000M40A-001271,identity,rebuild_legacy_engine_id,expected_rebuild_diff,__undefined__,1100050
12V4000M40A,1100050,RB-12V4000M40A-001271,identity,Source Page,formatting_diff,208,208
12V4000M40A,1100050,RB-12V4000M40A-001271,final,designation_final,empty_vs_value,HEX SCREW,BOLT HEX A3C
12V4000M40A,1100050,RB-12V4000M40A-001271,final,weight_final,empty_vs_value,0.27 KGM,274 G
12V4000M40A,1100050,RB-12V4000M40A-001271,final,measure_final,formatting_diff,M 16  X180,M 16 X180
12V4000M40A,1100050,RB-12V4000M40A-001271,qa,qa_revision_estado,empty_vs_value,ok,pendiente
12V4000M40A,1100050,RB-12V4000M40A-001271,qa,qa_revision_accion,critical_missing,copia,
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,atributo2,empty_vs_value,Actualizados,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,categoria,empty_vs_value,12VM40A-183,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,Cause,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,criterio_pn,empty_vs_value,MATCH_CATALOGO,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,Date,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,DD/DTNA,empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,Denomination (New Part Number),empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,Denomination(Cause),empty_vs_value,,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,depuracion_ts,empty_vs_value,2026-04-27T00:11:37Z,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,DESIGNATION,empty_vs_value,HEX SCREW,BOLT HEX A3C
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,detalle_cambio,empty_vs_value,match: 000000000360,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,engine,empty_vs_value,4000,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,fg_code,empty_vs_value,183,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,fg_fgs_raw,empty_vs_value,183-17,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,fgs_code_description,empty_vs_value,183 OIL FILTRATION/COOLING,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,fgs_description,empty_vs_value,OIL FILTRATION/COOLING,__undefined__
12V4000M40A,1100050,RB-12V4000M40A-001271,legacy_metadata,FN,formatting_diff,,
